COMUNA;LAT;LON;Region
Lumaco;-38.165627;-72.905353;9
Machali;-34.180855;-70.648121;6
Macul;-33.484785;-70.59843;13
Mafil;-39.662753;-72.950959;14
Maipu;-33.510857;-70.757397;13
Malloa;-34.444365;-70.94507;6
Marchihue;-34.39774;-71.619319;6
Maria Elena;-22.345349;-69.662551;2
Maria Pinto;-33.517054;-71.123616;13
Mariquina;-39.538475;-72.962331;14
Maule;-35.520845;-71.691626;7
Maullin;-41.618682;-73.601633;10
Mejillones;-23.10226;-70.446672;2
Melipeuco;-38.853201;-71.695106;9
Melipilla;-33.686886;-71.217621;13
Ninhue;-36.396242;-72.399455;16
Molina;-35.114048;-71.283984;7
Monte Patria;-30.694172;-70.959349;4
Mostazal;-33.978787;-70.711515;6
Mulchen;-37.719325;-72.240875;8
Nacimiento;-37.507334;-72.663532;8
Nancagua;-34.651191;-71.197495;6
Natales;-51.731077;-72.494091;12
Navidad;-33.955655;-71.829782;6
Negrete;-37.585964;-72.531252;8
Nogales;-32.733939;-71.203951;5
Nueva Imperial;-38.74338;-72.950065;9
Niquen;-36.291891;-71.900454;16
Nunoa;-33.456877;-70.597965;13
O'Higgins;-48.466019;-72.559325;11
Olivar;-34.211302;-70.817028;6
Ollagüe;-21.224396;-68.25393;2
Olmue;-32.9953;-71.181919;5
Osorno;-40.576833;-73.141858;10
Ovalle;-30.60111;-71.198652;4
Padre Hurtado;-33.569738;-70.815746;13
Padre Las Casas;-38.767018;-72.595932;9
Paihuano;-30.029746;-70.518133;4
Paillaco;-40.07068;-72.872752;14
Paine;-33.81264;-70.739108;13
Palena;-43.618103;-71.801781;10
Palmilla;-34.596356;-71.36254;6
Panguipulli;-39.644195;-72.333599;14
Panquehue;-32.77034;-70.83486;5
Papudo;-32.507165;-71.446077;5
Paredones;-34.649383;-71.903569;6
Parral;-36.140849;-71.823139;7
Pedro Aguirre Cerda;-33.494094;-70.676503;13
Pelarco;-35.383949;-71.44596;7
Pelluhue;-35.821497;-72.594812;7
Pemuco;-36.977153;-72.098535;16
Pencahue;-35.392861;-71.801492;7
Penco;-36.731954;-72.987529;8
Penaflor;-33.608424;-70.882375;13
Penalolen;-33.477561;-70.542214;13
Peralillo;-34.476262;-71.48065;6
Perquenco;-38.42127;-72.377751;9
Petorca;-32.251717;-70.928944;5
Pica;-20.489475;-69.330538;1
Pichidegua;-34.357193;-71.283871;6
Pichilemu;-34.391389;-72.005004;6
Pinto;-36.704752;-71.893359;16
Pirque;-33.634251;-70.572908;13
Pitrufquen;-38.986594;-72.637396;9
Placilla;-34.637997;-71.117141;6
Portezuelo;-36.528787;-72.428748;16
Porvenir;-53.298;-70.385;12
Pozo Almonte;-20.25672;-69.785992;1
Primavera;-52.774999;-69.289918;12
Providencia;-33.431617;-70.60929;13
Puchuncavi;-32.725925;-71.414388;5
Pucon;-39.276219;-71.9736;9
Pudahuel;-33.442566;-70.764176;13
Puente Alto;-33.616423;-70.582388;13
Puerto Montt;-41.468898;-72.941128;10
Puerto Octay;-40.973563;-72.883347;10
Puerto Varas;-41.326253;-72.975211;10
Pumanque;-34.601572;-71.65261;6
Punitaqui;-30.831258;-71.260161;4
Punta Arenas;-53.150201;-70.913631;12
Puqueldon;-42.601441;-73.671485;10
Puren;-38.032806;-73.071351;9
Purranque;-40.911219;-73.162688;10
Putaendo;-32.626587;-70.718704;5
Putre;-18.196415;-69.560349;15
Puyehue;-40.717;-72.321;10
Queilen;-42.886146;-73.471102;10
Quellon;-43.117949;-73.615534;10
Quemchi;-42.144713;-73.478056;10
Quilaco;-37.684149;-72.004524;8
Quilicura;-33.358187;-70.729311;13
Quillon;-36.746249;-72.465884;16
Quillota;-32.885769;-71.249402;5
Quilpue;-33.048863;-71.400295;5
Quinchao;-42.538396;-73.424829;10
Quinta de Tilcoco;-34.354798;-70.968968;6
Quinta Normal;-33.432035;-70.692518;13
Quintero;-32.782064;-71.530702;5
Quirihue;-36.281116;-72.543566;16
Rancagua;-34.166391;-70.730645;6
Ranquil;-36.652282;-72.594709;16
Rauco;-34.92588;-71.317926;7
Recoleta;-33.406407;-70.633722;13
Renaico;-37.671881;-72.587859;9
Renca;-33.406649;-70.72821;13
Rengo;-34.405177;-70.85547;6
Requinoa;-34.284859;-70.818605;6
Retiro;-36.053614;-71.762101;7
Rinconada;-32.833096;-70.688743;5
Rio Bueno;-40.336246;-72.954075;14
Rio Claro;-35.281716;-71.259453;7
Rio Hurtado;-30.411928;-70.905251;4
Rio Ibanez;-46.292672;-71.93831;11
Rio Negro;-40.797788;-73.216344;10
Rio Verde;-52.650692;-71.462998;12
Romeral;-34.95768;-71.125095;7
Saavedra;-38.786801;-73.397555;9
Sagrada Familia;-34.998564;-71.38181;7
Salamanca;-31.778154;-70.978811;4
San Antonio;-33.596752;-71.609827;5
San Bernardo;-33.5864;-70.698992;13
San Carlos;-36.424633;-71.962582;16
San Clemente;-35.536055;-71.487981;7
San Esteban;-32.799904;-70.580102;5
