Tipo;Pot;Ancho;Alto;Peso;Area;Voc;Icc;Vpp;Ipp;NOCT
20Wp;20;0.65;0.28;3;0.182;21.6;1.24;17.28;1.176;
50Wp;50;0.67;0.54;5;0.3618;22.68;2.94;18.54;2.7;
100Wp;100;;;;;;;;;
150Wp;150;;;;;;;;;
165Wp;165;0.67;1.47;;0.9849;23.19;8.89;19.7;8.39;
200Wp;200;;;;;;;;;
285Wp;285;;;;;;;;;
340Wp;340;;;;;;;;;
410Wp;410;0.998;2.066;22;2.062;53.9;9.89;44.5;9.21;-0.42
435Wp;435;;;;;;;;;
450Wp;450;;;;;;;;;
500Wp;500;1.093;2.19;29.6;2.39367;43.2;14.71;36.2;13.82;
660Wp;660;;;;;;;;;
