aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-22-68;-3,30;-3,61;-3,83;-5,52;-7,17;-8,71;-9,64;-8,27;-7,23;-6,19;-5,02;-4,29
-22-67;-3,98;-4,59;-4,91;-7,18;-8,96;-11,10;-12,17;-10,02;-8,27;-7,58;-7,14;-5,92
-22-66;0,01;-0,78;-1,85;-6,08;-6,87;-7,13;-7,40;-7,37;-7,04;-5,95;-4,40;-1,99
-23-76;17,87;19,08;18,94;17,87;16,58;15,47;14,34;13,74;13,99;14,29;15,09;16,18
-23-75;17,86;19,16;18,88;17,66;16,32;15,09;14,06;13,50;13,69;14,01;14,85;16,02
-23-74;18,01;19,33;18,81;17,36;16,09;14,76;13,67;13,17;13,28;13,75;14,68;16,09
-23-73;18,24;19,44;18,87;17,28;16,00;14,63;13,46;12,95;13,15;13,69;14,69;16,19
-23-72;18,79;19,79;19,05;17,36;16,00;14,48;13,46;12,97;13,23;13,86;14,97;16,67
-23-71;19,04;19,91;19,06;17,42;15,99;14,65;13,67;13,22;13,49;14,20;15,27;17,03
-23-70;11,96;12,40;11,53;9,87;7,59;6,32;4,82;5,35;6,39;7,70;9,06;10,34
-23-69;5,42;5,57;4,50;1,85;-1,47;-2,85;-3,67;-3,09;-1,96;0,37;2,94;4,27
-23-68;6,64;6,40;5,43;2,44;-0,75;-2,21;-3,08;-2,28;-0,62;1,72;3,45;5,19
-23-67;-5,69;-6,29;-6,20;-7,08;-9,46;-11,63;-12,83;-10,74;-8,10;-7,64;-7,71;-7,11
-23-66;-2,99;-4,09;-4,66;-6,57;-7,34;-8,35;-9,22;-7,61;-7,28;-6,87;-6,39;-4,75
-24-76;17,61;18,68;18,58;17,59;16,29;15,27;14,11;13,60;13,75;14,10;14,84;16,03
-24-75;17,56;18,66;18,41;17,27;15,99;14,89;13,79;13,27;13,40;13,83;14,62;15,80
-24-74;17,60;18,71;18,32;16,95;15,71;14,48;13,38;12,90;13,05;13,53;14,40;15,68
-24-73;17,74;18,81;18,32;16,84;15,56;14,27;13,14;12,69;12,81;13,45;14,35;15,70
-24-72;18,35;19,25;18,55;16,95;15,59;14,20;13,16;12,77;12,98;13,64;14,65;16,21
-24-71;18,58;19,42;18,60;16,99;15,70;14,44;13,49;13,10;13,37;13,99;15,05;16,60
-24-70;11,68;11,94;11,05;9,33;6,68;5,35;3,64;4,47;5,27;7,07;8,67;10,07
-24-69;4,33;4,04;2,69;-0,02;-2,57;-3,61;-4,47;-3,88;-3,05;-1,04;0,73;2,64
-24-68;1,60;1,04;0,05;-2,21;-4,71;-6,48;-7,37;-6,29;-4,85;-2,93;-1,71;-0,18
-24-67;-5,99;-6,76;-7,06;-7,34;-9,72;-11,44;-12,93;-10,21;-8,07;-7,89;-8,83;-7,92
-24-66;-3,34;-4,43;-5,35;-6,65;-7,85;-9,17;-10,18;-8,20;-7,44;-6,94;-6,80;-5,30
-25-76;17,40;18,35;18,27;17,29;16,05;15,09;13,92;13,43;13,53;13,91;14,60;15,80
-25-75;17,29;18,23;18,01;16,95;15,60;14,67;13,60;13,10;13,19;13,63;14,42;15,62
-25-74;17,24;18,22;17,82;16,55;15,33;14,22;13,13;12,69;12,88;13,29;14,17;15,43
-25-73;17,33;18,28;17,83;16,51;15,25;14,04;12,94;12,55;12,73;13,24;14,13;15,41
-25-72;17,91;18,73;18,08;16,65;15,37;14,03;13,03;12,69;12,88;13,45;14,39;15,86
-25-71;18,16;18,91;18,13;16,59;15,45;14,25;13,27;13,00;13,15;13,79;14,71;16,24
-25-70;8,07;8,27;7,46;5,61;2,60;1,23;-0,50;0,31;1,26;3,80;5,60;6,87
-25-69;-3,93;-4,42;-5,30;-6,52;-9,54;-11,83;-13,27;-11,88;-9,46;-7,15;-6,57;-5,24
-25-68;-4,93;-5,45;-6,21;-7,29;-10,16;-12,62;-14,45;-12,20;-9,35;-7,75;-7,73;-6,63
-25-67;-4,42;-5,20;-5,96;-7,63;-10,62;-12,55;-14,10;-12,00;-9,32;-7,63;-8,11;-6,54
-25-66;0,62;-0,47;-1,65;-4,02;-5,75;-6,89;-7,80;-6,45;-5,24;-3,57;-2,77;-0,97
-26-76;17,19;18,11;17,93;17,00;15,75;14,80;13,75;13,23;13,36;13,67;14,45;15,56
-26-75;17,01;17,90;17,70;16,64;15,36;14,43;13,36;12,90;12,97;13,40;14,19;15,36
-26-74;16,91;17,79;17,47;16,25;15,07;14,02;12,92;12,52;12,64;13,08;13,96;15,22
-26-73;16,95;17,82;17,42;16,20;14,93;13,83;12,73;12,35;12,52;13,04;13,92;15,19
-26-72;17,31;18,00;17,42;16,09;14,91;13,63;12,54;12,27;12,46;13,08;13,98;15,43
-26-71;17,60;18,25;17,57;16,05;15,02;13,74;12,75;12,51;12,70;13,33;14,22;15,78
-26-70;11,00;11,43;10,57;8,78;6,36;4,73;2,88;3,70;4,58;6,52;8,39;9,60
-26-69;-4,95;-5,44;-6,12;-7,96;-11,34;-13,95;-15,67;-13,86;-11,61;-8,27;-7,58;-6,28
-26-68;-5,95;-6,40;-7,13;-7,84;-11,46;-14,07;-15,78;-14,00;-10,07;-7,97;-8,18;-7,35
-26-67;-4,98;-6,19;-6,77;-9,10;-12,33;-14,36;-15,78;-13,83;-11,26;-8,64;-8,83;-7,54
-26-66;1,39;-0,08;-1,61;-4,08;-5,79;-6,41;-7,90;-6,70;-6,29;-4,54;-3,35;-1,04
-27-76;17,01;17,86;17,62;16,77;15,52;14,59;13,46;12,90;13,07;13,48;14,26;15,43
-27-75;16,74;17,63;17,39;16,40;15,15;14,14;13,10;12,59;12,72;13,15;14,00;15,16
-27-74;16,62;17,42;17,15;15,95;14,73;13,78;12,75;12,35;12,45;12,88;13,81;14,99
-27-73;16,56;17,35;17,02;15,75;14,60;13,56;12,48;12,12;12,25;12,79;13,68;14,90
-27-72;16,78;17,49;16,97;15,66;14,51;13,46;12,29;12,00;12,22;12,85;13,73;15,10
-27-71;16,88;17,57;16,88;15,48;14,49;13,36;12,29;12,14;12,32;13,00;13,81;15,22
-27-70;10,11;10,45;9,62;6,87;3,74;2,01;0,47;1,08;1,86;4,79;7,11;9,12
