aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-39-68;9,65;8,93;6,17;2,10;-1,31;-3,36;-4,11;-3,40;-1,44;1,94;5,14;7,93
-39-67;10,78;9,57;6,84;2,34;-1,15;-3,47;-4,17;-3,24;-1,22;2,49;5,94;8,91
-39-66;10,98;9,75;7,01;2,45;-1,05;-3,46;-4,16;-3,09;-1,07;2,74;6,07;9,17
-40-76;13,15;13,60;13,16;11,97;10,41;8,93;8,05;7,92;8,01;8,73;9,81;11,45
-40-75;13,11;13,34;12,82;11,52;10,10;8,70;7,85;7,76;8,06;8,80;9,97;11,50
-40-74;9,58;9,65;8,86;7,33;5,68;4,35;3,38;3,91;4,57;5,65;6,97;8,33
-40-73;5,65;5,99;4,83;2,70;0,23;-1,50;-2,56;-1,35;-0,36;1,39;2,88;4,59
-40-72;0,65;0,33;-0,65;-2,62;-3,97;-5,49;-6,51;-5,93;-4,80;-3,38;-1,99;-0,32
-40-71;0,26;0,29;-1,13;-3,14;-4,89;-6,97;-8,49;-6,98;-5,29;-4,12;-2,81;-0,85
-40-70;4,44;4,41;2,36;-1,04;-3,47;-5,07;-5,56;-4,66;-3,74;-1,85;0,49;2,93
-40-69;4,63;4,24;1,93;-1,46;-3,76;-5,18;-6,06;-5,04;-4,24;-2,20;0,36;2,88
-40-68;6,20;5,52;3,07;-0,33;-2,93;-4,57;-5,45;-4,46;-3,51;-1,00;1,78;4,38
-40-67;10,47;9,27;6,27;2,27;-1,20;-3,48;-4,09;-3,20;-1,44;1,91;5,51;8,56
-40-66;10,61;9,36;6,40;2,31;-1,25;-3,70;-4,18;-3,23;-1,42;2,04;5,75;8,76
-41-76;12,55;13,04;12,66;11,40;9,83;8,44;7,68;7,36;7,50;8,13;9,28;10,94
-41-75;12,58;12,85;12,30;10,97;9,59;8,26;7,42;7,38;7,59;8,37;9,49;11,01
-41-74;7,38;7,49;6,51;4,86;3,08;1,61;0,74;1,41;2,11;3,17;4,79;6,19
-41-73;6,52;6,75;5,58;3,65;1,33;-0,64;-1,49;-0,55;0,55;2,17;3,70;5,25
-41-72;0,64;0,44;-0,79;-2,69;-4,30;-6,38;-8,52;-6,20;-4,67;-3,42;-2,20;-0,60
-41-71;0,53;0,60;-1,05;-3,06;-4,91;-7,65;-10,11;-7,37;-5,27;-4,07;-2,60;-0,86
-41-70;1,03;1,17;-0,69;-3,40;-4,96;-7,21;-8,78;-6,50;-5,21;-4,42;-2,65;-0,42
-41-69;2,23;1,96;-0,39;-3,19;-4,81;-6,68;-8,09;-6,22;-5,21;-3,98;-1,75;0,69
-42-68;3,97;3,50;0,99;-2,23;-4,30;-6,00;-7,21;-5,60;-4,69;-2,98;-0,29;2,33
-41-67;6,37;5,48;2,84;-0,55;-2,77;-4,60;-5,67;-4,54;-3,42;-0,98;1,83;4,54
-41-66;8,41;7,41;4,71;1,23;-1,52;-3,58;-4,47;-3,42;-2,17;0,59;3,67;6,63
-42-76;11,94;12,40;12,01;10,80;9,31;8,06;7,25;6,95;7,10;7,74;8,84;10,36
-42-75;11,88;12,08;11,53;10,31;8,93;7,77;6,96;6,77;7,17;7,81;8,86;10,48
-42-74;7,60;7,59;6,63;5,18;3,90;2,15;1,51;2,12;2,70;3,65;5,01;6,53
-42-73;8,66;8,65;7,93;6,48;5,01;3,49;3,03;3,24;3,62;4,69;5,68;7,21
-42-72;0,71;0,65;-1,08;-2,62;-3,92;-6,29;-8,29;-5,91;-4,20;-3,12;-2,03;-0,44
-42-71;0,67;0,86;-0,80;-3,05;-4,50;-7,08;-9,02;-6,57;-4,75;-3,85;-2,36;-0,47
-42-70;1,37;1,41;-0,35;-3,10;-4,64;-7,10;-9,08;-6,42;-4,96;-4,05;-2,21;-0,05
-42-69;-0,26;-0,51;-2,47;-4,81;-6,15;-9,54;-11,56;-8,79;-6,63;-5,38;-3,64;-1,67
-42-68;0,71;0,39;-1,85;-4,45;-5,65;-8,47;-10,35;-7,51;-5,85;-4,84;-2,96;-0,83
-42-67;5,71;4,88;2,20;-1,05;-3,15;-4,97;-6,15;-4,92;-3,68;-1,51;1,40;4,04
-42-66;7,33;6,32;3,80;0,59;-2,11;-4,10;-5,08;-4,10;-2,60;-0,23;2,92;5,58
-43-76;11,30;11,76;11,32;10,22;8,72;7,47;6,75;6,50;6,58;7,35;8,38;9,82
-43-75;11,33;11,49;10,90;9,75;8,47;7,28;6,58;6,48;6,78;7,45;8,48;9,90
-43-74;7,13;7,09;6,09;4,58;2,86;1,37;0,57;1,22;2,12;3,04;4,32;6,03
-43-73;8,32;8,41;7,34;6,10;4,57;3,16;2,52;3,20;3,79;4,61;5,59;7,08
-43-72;0,90;1,13;-1,15;-2,55;-4,74;-7,84;-9,25;-6,52;-4,60;-3,41;-2,06;-0,19
-43-71;0,93;1,14;-1,13;-3,00;-4,98;-7,89;-9,70;-6,52;-4,74;-3,75;-2,35;-0,28
-43-70;1,96;1,92;-0,46;-2,80;-4,79;-7,23;-8,80;-5,91;-4,70;-3,66;-1,88;0,52
-43-69;2,75;2,39;-0,22;-2,61;-4,31;-6,51;-8,08;-5,82;-4,75;-3,22;-1,00;1,27
-43-68;3,94;3,49;0,80;-1,66;-3,65;-5,67;-7,09;-5,30;-4,11;-2,37;0,18;2,37
-43-67;9,31;8,27;5,27;1,96;-1,20;-3,70;-4,41;-3,21;-1,49;1,26;4,82;7,57
-43-66;9,20;8,01;5,14;1,69;-1,66;-4,18;-4,66;-3,39;-1,87;0,95;4,51;7,41
-44-76;10,71;11,11;10,70;9,63;8,29;7,05;6,31;6,02;6,33;6,98;7,92;9,35
-44-75;10,64;10,85;10,33;9,20;7,88;6,70;5,95;5,98;6,25;7,08;8,00;9,37
-44-74;9,10;9,18;8,14;6,62;5,09;3,68;3,15;3,79;4,32;5,39;6,37;7,89
-44-73;6,20;6,23;4,80;3,17;1,44;-0,21;-0,90;0,16;0,96;2,25;3,35;5,14
-44-72;0,93;0,81;-1,28;-2,89;-4,96;-8,43;-10,11;-7,22;-4,94;-3,51;-2,23;-0,31
-44-71;0,40;0,23;-1,87;-3,30;-5,46;-9,36;-11,54;-7,72;-5,45;-3,90;-2,72;-0,74
-44-70;0,77;0,71;-1,67;-3,35;-5,37;-8,39;-10,22;-7,06;-5,37;-4,03;-2,57;-0,46
-44-69;4,67;4,32;1,28;-1,27;-3,79;-5,93;-7,11;-5,02;-3,96;-2,09;0,64;3,18
-44-68;5,83;5,31;2,05;-0,66;-3,44;-5,58;-6,64;-4,68;-3,73;-1,51;1,58;4,15
-44-67;7,26;6,15;3,11;-0,03;-3,15;-5,15;-5,76;-4,24;-3,14;-0,66;2,52;5,50
-44-66;7,17;6,12;3,32;0,21;-2,80;-4,88;-5,24;-3,99;-2,97;-0,59;2,59;5,54
-45-76;10,15;10,55;10,11;9,04;7,81;6,59;5,87;5,65;5,97;6,53;7,55;8,82
-45-75;10,07;10,27;9,68;8,60;7,01;5,70;5,04;5,22;5,67;6,37;7,40;8,69
-45-74;6,10;6,27;5,35;3,81;2,07;0,46;-0,18;0,50;1,20;2,31;3,58;5,06
-45-73;3,16;3,33;1,84;0,33;-1,27;-3,44;-4,30;-2,82;-1,80;-0,59;0,64;2,14
-45-72;-0,37;-0,39;-2,21;-3,49;-5,76;-9,38;-11,80;-9,01;-6,19;-4,04;-2,91;-1,40
-45-71;-0,23;-0,39;-2,30;-3,70;-5,75;-9,09;-11,95;-8,64;-6,17;-4,19;-3,05;-1,32
-45-70;2,21;2,08;-0,66;-2,82;-4,44;-7,07;-8,81;-5,78;-4,60;-3,29;-1,34;0,93
-45-69;4,47;3,99;0,92;-1,59;-4,13;-6,48;-7,78;-5,11;-4,27;-2,14;0,56;3,11
-45-68;5,34;4,57;1,50;-1,20;-3,91;-5,98;-7,20;-4,84;-4,08;-1,69;1,29;3,77
-45-67;7,75;6,90;4,45;1,56;-1,05;-2,84;-3,78;-2,37;-1,48;0,67;3,58;6,17
-45-66;10,10;9,52;7,67;5,11;2,35;0,36;-0,53;0,26;1,30;3,17;5,97;8,49
-46-76;9,54;10,01;9,57;8,56;7,18;6,14;5,37;5,23;5,56;6,22;7,22;8,36
-46-75;7,54;7,74;6,71;5,54;3,63;2,02;1,17;1,91;2,68;3,63;4,96;6,39
-46-74;3,23;3,32;1,86;0,38;-1,55;-3,64;-4,68;-3,15;-1,95;-0,90;0,70;2,28
-46-73;1,27;1,09;-0,47;-1,70;-3,99;-7,12;-9,10;-6,71;-4,27;-2,77;-1,16;0,33
-46-72;-0,11;-0,26;-2,02;-3,57;-5,70;-9,23;-11,71;-8,22;-5,70;-3,98;-2,80;-1,14
-46-71;0,30;0,20;-2,00;-3,51;-5,47;-8,98;-11,23;-7,90;-5,43;-3,88;-2,70;-0,74
-46-70;3,03;2,68;-0,24;-2,46;-4,59;-7,25;-8,93;-5,76;-4,58;-2,94;-0,63;1,78
-46-69;4,44;3,68;0,66;-2,00;-4,39;-6,81;-8,35;-5,56;-4,46;-2,18;0,44;2,97
-46-68;5,59;4,70;1,76;-0,95;-3,52;-5,69;-6,92;-4,66;-3,66;-1,15;1,60;3,99
-46-67;11,49;11,09;9,85;7,97;5,76;3,95;3,03;3,61;4,36;5,61;7,76;9,77
-46-66;11,73;11,33;10,10;8,41;6,32;4,67;3,82;4,10;4,81;5,84;7,96;9,98
-47-76;9,00;9,53;8,96;7,97;6,63;5,53;4,81;4,84;5,19;5,76;6,81;7,92
-47-75;8,38;8,73;8,05;6,99;5,24;3,83;3,03;3,39;4,04;4,79;6,11;7,34
-47-74;-0,38;-0,62;-2,19;-3,40;-5,95;-8,87;-10,54;-8,61;-6,79;-4,86;-2,86;-1,22
-47-73;-2,21;-2,09;-3,68;-5,04;-8,01;-11,80;-13,70;-11,52;-8,38;-6,07;-4,63;-3,09
-47-72;-1,89;-1,96;-3,45;-4,73;-7,89;-12,49;-14,01;-12,35;-8,91;-5,52;-4,05;-2,72
-47-71;-1,46;-1,58;-3,44;-4,76;-7,71;-12,17;-13,67;-12,24;-8,61;-5,53;-3,93;-2,44
-47-70;1,35;0,80;-1,91;-3,77;-5,76;-9,17;-10,86;-8,13;-5,44;-4,32;-2,33;-0,09
-47-69;4,34;3,38;0,37;-2,15;-4,35;-6,88;-8,16;-5,81;-4,17;-2,47;0,32;2,71
-47-68;5,64;4,50;1,48;-1,50;-4,01;-5,76;-7,05;-4,96;-3,82;-1,68;1,50;3,90
-47-67;7,49;6,48;3,94;1,10;-1,69;-3,10;-4,22;-2,92;-1,93;0,30;3,46;5,76
-47-66;9,74;9,12;7,53;5,38;2,88;1,16;0,12;0,83;1,65;3,42;5,91;8,15
